"student_id","number","digit","problem_type","n"
"1007266450","golden_ratio","766","diagonal_sums","33"
"1006965198","log_base(x=6, base=2)","694","triangle_path_sum","25"
"1007264452","nth_root(x=3, root=4)","791","max_product_in_grid","23"
"1007822260","e","824","max_adjacent_product","43"
"1007768015","sin(7)","853","max_product_in_grid","45"
"1005241132","cos(6)","673","triangle_path_sum","23"
"1006523497","nth_root(x=3, root=6)","761","max_product_in_grid","23"
"1008508214","sin(6)","982","diagonal_sums","23"
"1012826186","nth_root(x=9, root=5)","697","triangle_path_sum","31"
"1007483858","sin(5)","632","diagonal_sums","25"
"1007286483","cos(8)","844","diagonal_sums","21"
"1002946324","sin(7)","865","max_product_in_grid","43"
"1012098258","sin(9)","741","triangle_path_sum","47"
"1012156079","e","747","max_product_in_grid","27"
"1007021802","cos(2)","919","max_product_in_grid","39"
"1011925641","log_base(x=2, base=6)","504","max_product_in_grid","25"
"1007623118","e","601","diagonal_sums","39"
"1007638335","nth_root(x=5, root=2)","674","max_adjacent_product","31"
"1011886924","sin(9)","524","diagonal_sums","45"
"1005930771","sin(2)","591","max_product_in_grid","25"
"1007737898","nth_root(x=6, root=3)","830","diagonal_sums","49"
"1007764028","log_base(x=5, base=2)","640","max_product_in_grid","33"
"1012563067","pi","991","diagonal_sums","35"
"1012859177","cos(7)","884","max_adjacent_product","37"
"1006925945","e","645","max_product_in_grid","23"
"1012837405","pi","706","max_adjacent_product","33"
"1007810317","pi","662","triangle_path_sum","23"
"1006693589","log_base(x=3, base=9)","836","max_adjacent_product","25"
"1012027487","e","676","diagonal_sums","41"
"1005902917","golden_ratio","961","triangle_path_sum","29"
"1008763606","golden_ratio","881","max_product_in_grid","29"
"1008124708","sin(5)","517","max_adjacent_product","27"
"1006861120","pi","758","max_adjacent_product","23"
"1007100236","e","571","max_product_in_grid","43"
"1012838770","golden_ratio","618","max_product_in_grid","25"
"1006678301","pi","557","max_product_in_grid","37"
"1006921244","log_base(x=2, base=3)","754","max_adjacent_product","49"
"1007977646","sin(8)","849","max_adjacent_product","41"
"1007746753","sin(9)","992","triangle_path_sum","39"
"1007936003","sin(4)","580","diagonal_sums","27"
"1006833802","nth_root(x=5, root=4)","659","triangle_path_sum","31"
"1008038767","nth_root(x=3, root=8)","778","diagonal_sums","27"
"1008336034","pi","951","max_adjacent_product","41"
"1003814571","cos(4)","643","diagonal_sums","25"
"1008072185","golden_ratio","777","max_product_in_grid","31"
"1005342693","cos(6)","818","diagonal_sums","41"
"1012135093","log_base(x=3, base=5)","907","diagonal_sums","21"
"1007743658","log_base(x=3, base=4)","538","max_adjacent_product","25"
"1007927790","pi","982","max_adjacent_product","43"
"1012859168","log_base(x=6, base=4)","691","max_product_in_grid","47"
"1005012102","e","895","triangle_path_sum","29"
"1012098267","log_base(x=9, base=4)","985","max_product_in_grid","41"
"1007967381","e","967","max_adjacent_product","35"
"1012046803","pi","903","max_adjacent_product","29"
"1005106332","e","693","max_adjacent_product","35"
"1008126421","sin(6)","910","triangle_path_sum","23"
"1007733909","log_base(x=9, base=4)","928","max_product_in_grid","29"
"1007894879","log_base(x=8, base=6)","686","diagonal_sums","21"
"1005592351","sin(8)","775","diagonal_sums","29"
"1012829290","cos(6)","617","diagonal_sums","21"
"1004428452","sin(5)","896","max_product_in_grid","25"
"1012136680","sin(7)","863","max_adjacent_product","41"
"1006174042","nth_root(x=2, root=6)","984","triangle_path_sum","35"
"1006835613","cos(7)","613","diagonal_sums","41"
"1007958453","nth_root(x=9, root=2)","586","diagonal_sums","31"
"1012085039","nth_root(x=4, root=9)","696","max_product_in_grid","29"
"1007715572","log_base(x=2, base=7)","955","diagonal_sums","21"
"1007658241","nth_root(x=2, root=7)","526","max_adjacent_product","45"
"1004931032","golden_ratio","983","max_product_in_grid","23"
"1007112722","cos(9)","617","diagonal_sums","35"
"1006927337","e","505","diagonal_sums","21"
"1007731518","golden_ratio","873","diagonal_sums","47"
"1007070820","cos(5)","955","max_adjacent_product","23"
"1006071518","nth_root(x=8, root=9)","854","triangle_path_sum","37"
"1006681226","e","772","diagonal_sums","23"
"1003870554","cos(4)","768","triangle_path_sum","41"
"1006212634","pi","630","max_product_in_grid","23"
"1006675545","cos(7)","913","diagonal_sums","27"
"1007836665","e","761","diagonal_sums","39"
"1007730449","e","600","diagonal_sums","31"
"1007881320","e","856","max_adjacent_product","43"
"1008282519","e","507","triangle_path_sum","25"
"1007165737","cos(7)","598","max_adjacent_product","27"
"1008551577","cos(7)","715","diagonal_sums","31"
"1007730948","e","667","max_product_in_grid","33"
"1008142644","log_base(x=2, base=9)","687","max_adjacent_product","39"
"1007645979","sin(3)","806","max_product_in_grid","43"
"1007849811","sin(6)","623","triangle_path_sum","29"
"1007728158","golden_ratio","506","diagonal_sums","35"
"1004832201","pi","750","triangle_path_sum","27"
"1007738245","sin(5)","988","max_product_in_grid","37"
"1008052250","nth_root(x=2, root=3)","640","max_adjacent_product","25"
"1008076920","cos(5)","786","triangle_path_sum","35"
